,word_count
Gettin' Together_Tommy James And The Shondells_1989,159
Ghastly Indoctrination_Dark Fortress_2006,148
Ghetto_Bad Azz_2003,592
Ghost of the Ocean (Live)_Uriah Heep_2008,105
Ghost Town Rituals (Album Version)_Nights Like These_2006,125
Gia_Despina Vandi_2003,0
Gigantor_Dickies_1984,38
Gillum Blues_Jazz Gillum_1985,144
Gimme Legs_The Chap_2010,34
Gin House Blues_Bessie Smith_2007,149
Gina_Geggy Tah_1996,100
Girl by the Lake_Max Stalling_2002,211
Girl From A Pawnshop_The Black Crowes_1996,161
Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version)_Twista_2005,505
Girl You're So Together_Michael Jackson_1984,231
Girls Against Boys (LP Version)_Vitamin C_1999,299
Girls All Pause_Kurupt_1999,435
Give It To Me_Grayson Capps_2006,117
Give It Up Or Let Me Go_Dixie Chicks_1998,157
Give It_Helmet_1992,53
Give The People_EPMD_1990,353
Give U My Heart_Toni Braxton Featuring Babyface_2003,189
Give Your Heart a Home_Don Francisco_1991,194
Given Up (Album Version)_Linkin Park_2007,148
Givin' My Love_Clay Crosse_1995,121
Gloria (In The Name Of Love Album Version)_Audio Adrenaline_2004,62
Gloria_Julissa_1984,158
Glory Bound (LP Version)_Martin Sexton_1998,168
Glow_King Swamp_1989,191
Go And Wash (Those Dirty Feet)_Johnny Horton_2005,156
Go Baby (feat GemStones) (Explicit Album Version)_Lupe Fiasco feat GemStones_2008,0
Go Back_Crabby Appleton_1970,199
Go On_JK_1998,254
Go To Hell_Prozak_2008,248
God Bless You (Goddamn it)_A Static Lullaby_2005,159
God Don't Never Change_Blind Willie Johnson_1989,145
God Gave Me You (SingleLP Version)_Bryan White_1999,196
God In My Bed_K's Choice_1998,104
God Of Love (Album Version)_Bad Brains_1995,148
God Save the Queen (Live)_Sex Pistols_1988,142
God Smack_Alice In Chains_1992,165
God You Are My God_Delirious_2000,159
God's Hands_The Oak Ridge Boys_2009,95
God's Will_Martina McBride_2003,261
Goin' Steady_Tommy Sands_1997,161
Going Down_Bryan Ferry_2002,66
Going Home (Album Version)_Marc Broussard_2008,72
Going Home_Izzy_2000,602
Going Out West_Jesse Malin_2004,114
Going Strong (Album Version)_Dropkick Murphys_1999,108
Going Under_Devo_1981,115
Golfshirt Pt 2_Nerf Herder_1996,94
Gone But Not Forgotten_The Del McCoury Band_2001,90
Gone Dead On You Blues_Blind Lemon Jefferson_1972,174
Gone To The Movies_Semisonic_1998,172
Gone_Frankie J_2005,289
Gone_Kanye West  Consequence  Cam'Ron_2005,773
Gone_Sugarbomb_2001,140
Good Day (Live)_The Mad Capsule Markets_2005,99
Good Day_Britt Nicole_2007,244
Good Enough_Evanescence_2006,119
Good Girl Gone Bad_Rihanna_2007,294
Good Girls_ Bad Guys_DMX  Dyme_1999,561
Good Looking Girl Blues_Furry Lewis_1927,143
Good Morning Captain_The Black Crowes_2009,177
Good News_Kingston Trio_1970,148
Good Rocking Tonight_Roy Brown_1947,155
Good Texan_The Vaughan Brothers_1990,148
Goodbye (Solo Version)_Billy Bragg_2008,128
Goodnight Girl_Wet Wet Wet_1992,195
Goodnight Irene_Kingston Trio_2003,118
Goody Two Shoes_Adam Ant_1982,305
Goons Lurkin (Instrumental Album Version)_Plies_2007,274
Got It Twisted_Mobb Deep_2004,393
Got The Blues_Blind Lemon Jefferson_1926,107
Got The Bull By The Horns_Johnny Horton_1996,188
Got To Find My Little Woman_Blind Boy Fuller_2005,131
Got To Make Me Love You_Tyrone Taylor_1983,1004
Gotta Man_Frankee_2004,277
Gotta Pay (Produced by Oddisee)_Wordsworth_2004,229
Gotta Tell Somebody_Don Francisco_1991,581
Grad_Baroness_2007,1
Grandbag's Funeral_Happy Mondays_1990,142
Grandma (Screwed & Chopped Version)_Mike Jones_2005,661
Grateful & Thankful_Francis Dunnery_1995,202
Gravedom_Goatwhore_2000,195
Greasers_PRE_2007,219
Great Big Problem_FFH_2005,110
Greater_Vanessa Bell Armstrong_2009,323
Greatest X_Janet Jackson_2008,245
Green And Blue_Deep Forest_1997,48
Green Mind_Dinosaur Jr_1991,263
Greener_ARRESTED DEVELOPMENT_2009,445
Grey Skies Turn Blue_MxPx_2004,197
Groovin' In The Midnight_Maxi Priest_1991,356
Groovin'_Jan Wayne_2003,115
Grottans Barn_Finntroll_2004,91
Group Sex_Circle Jerks_1980,90
Guantanamera_Wyclef Jean_1997,419
Guarare (Live At The Beacon Theatre)_Ray Barretto_1986,135
Guarare_Ray Barretto_1992,135
Guard Your Grill (LP Version)_Naughty By Nature_1992,668
Guardian Angel_Novaspace_2002,192
Guardian Angel_Since The Flood_2007,145
Guided By History_Mithotyn_1999,141
Guilty Partner_New Order_1989,183
Guitar Rag_Sylvester Weaver_1997,202
Gullveig_Black Messiah_2009,286
Gun Shot_Akon_2003,301
Guns And The Young_Mighty Mighty Bosstones_1992,202
Guys Do It All The Time_Mindy McCready_1996,236
Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version)_Twista_2005,495
Half As Much_Gene Autry_1976,136
Half The Fun_Snow Patrol_2004,123
Half Way Out The Door (Live)_Elvin Bishop_2007,185
Hallelujah_The Nelons_1995,175
Halleluja_Ebba Forsberg_2009,200
Halloween II_The Misfits_1981,61
Halloween_Dead Kennedys_1982,219
Halt mich_Herbstrock_2007,166
Hammer & a Stone_Seven Mary Three_2008,166
Hanging On (Medium Key Performance Track Without Background Vocals)_Britt Nicole_2009,211
Hank & Joe and Me_Johnny Cash_1999,132
Hannikaisen baari_Hector_1989,205
Happy Beat_Edmundo Ros_2014,80
Happy Cycling_Boards of Canada_1996,1
Happy Mother's Day_Casiotone For The Painfully Alone_2006,32
Happy Valentine's Day_OutKast_2003,496
Happy Valentine's_Toby Love_2008,155
Happy_Carolyn Arends_1999,196
Harajuku Girls_Gwen Stefani_2004,0
Harboring An Apparition_Mouth Of The Architect_2006,63
Hard Hitters_Dilated Peoples Featuring Black Thought_2001,527
Hard Not 2 Kill (Explicit)_Fat Joe_2006,395
Hard Times_Eastmountainsouth_2003,170
Hard To Concentrate (Album Version)_Red Hot Chili Peppers_2017,225
Hard To Laugh_Pursuit Of Happiness_1988,198
Harda They Come_Gyptian_0,247
Harder To Breathe_Maroon 5_2002,310
Hardly Wait_Placebo_2009,78
Harlem Shuffle_Righteous Brothers_1999,179
Harmony_Jesse Malin_2008,149
Hart(z) IV_Eko Fresh_2006,214
Hasta El Final_La Portuaria_2005,84
Hate Zone_Brand X_1977,1
Hate_Organized Konfusion_1997,425
Haughtiness And Puerile Dreams_Autumnblaze_2009,66
Haunt Me (Album Version)_Wednesday 13_2005,262
Haunted House_Gene Simmons_1987,197
Haunting_LORE_2006,119
Have It Your Way_Leigh Jones_2008,230
Have Thine Own Way Lord_Marty Robbins_1991,53
Have Yourself A Merry Little Christmas (LP Version)_George Huff_2007,72
Have Yourself A Merry Little Christmas_Hem_2005,68
Having You There_Mississippi Mass Choir_1995,228
HawaÃ¯_Java_2001,198
He Can't Love you_Michael Stanley Band_1980,164
He Never Changes_4Him_1991,127
He Says The Same Things To Me_Skeeter Davis_1964,103
He Was Here_Scott Krippayne_2003,193
He Wasn't Man Enough_Toni Braxton_2000,462
He Who Breeds Pestilence_Behemoth_2009,180
He Will Break Your Heart_Jerry Butler_1960,163
He's A Rebel_Crystals_1993,166
Head Banger_EPMD_1992,650
Head For Backstage Pass_Jeff Beck_1976,1
Head GoneWine Up Uh Self (Album Version)_Elephant Man_2003,477
Headless Heroes (LP Version)_Eugene McDaniels_1971,172
Headlines_John Fogerty_1986,193
Headlock_Esser_2008,195
Headsprung_LL Cool J_2004,490
Healed (LP Version)_Shirley Caesar_1991,500
Healing_Blessid Union Of Souls_2008,164
Hear Me Lord (2001 Digital Remaster)_George Harrison_1999,98
Hear Me Now_Wet Wet Wet_2004,192
Hear My Train A Comin'_Jimi Hendrix_1989,92
Heard 'Em Say_Kanye West  Adam Levine_2005,0
Heart Half Empty_Ty Herndon;Stephanie Bentley_0,227
Heart it Races (Frank Tetaz Remix)_Architecture In Helsinki_2007,101
Heart it Races (Yacht's I Should Coco Mix)_Architecture In Helsinki_2007,101
Heart Trouble_Martina McBride_1993,118
Heart's Grown Cold (LP Version)_Blackfoot_1984,164
Heart-Shaped Box_Nirvana_1994,204
Heartbreaker_Free_1972,85
Heartbreaker_Ray Charles_1961,152
Heartburn_Alicia Keys_2003,219
Heartless_Hoods_2005,90
Heaven (LP Version)_Rude Boys_1990,267
Heaven Can Wait_Michael Jackson_2001,389
Heaven Only Knows_K-OS_2002,515
Heaven Stood Still_Mink DeVille_1980,65
Heaven's Hung In Black (Reprise)_WASP_2007,188
Heaven's In New York_Wyclef Jean_2007,261
Heavenly Father_FU-Schnickens_1992,32
Heavy Like Sunday_Leona Naess_2008,389
Heavy On My Mind (Album Version)_Back Door Slam_2007,154
Hel Vete_Finntroll_2004,196
Helena 2 (Album Version)_Misfits_1999,192
Hello Space Boy_Behemoth_2000,72
Hello_Jan Wayne_2010,238
Hello_LL Cool J  Amil_2000,411
Hell_Foo Fighters_2005,94
Help Me Make It Through the Night_Charley Pride_2002,69
Help Me_Chris Brown_2005,368
Help Youngblood Get To the Freaky Party_Teena Marie_1984,431
Her Golden Robe In Silence Veiled_Autumnblaze_1999,114
Here And Beyond_Behemoth_2002,152
Here Comes The Hotstepper_Ini Kamoze_1995,324
Here I Am King_Primordial_1995,84
Here I Am_FFH_2003,139
Here I Am_Phantom Planet_2004,41
Here The Sun Never Shines_The Funeral Pyre_2006,75
Here we are_The Refreshments_2001,123
Here With Me_Arika Kane_0,297
Here Without You_3 Doors Down_2002,220
Hero In A Dream_Ensiferum_1999,265
Herz an herz (Live Version)_Paso Doble_1985,110
Hesitation Blues_Hot Tuna_1970,136
Het Spongebob Squarepants Lied_Spongebob Squarepants_2005,1683
Heut' Nacht_Spliff_1982,129
Hex Breaker_Taint_2009,102
Hey Daddy (Daddy's Home)_Usher_2010,380
Hey Daddy_Korn_1999,147
Hey Joe_Carl Smith_1993,168
Hey Joe_Roy Buchanan_1974,206
Hey Little Girl (1949)_Professor Longhair_1993,185
Hey Louise_Neil Diamond_1980,91
Hey Sexy Lady_Shaggy  Brian and Tony Gold_2002,504
Hi De Ho_Bobby Darin_2005,121
Hi Ho Silver_Roy Rogers_1980,169
Hide Away_Freddie King_1960,1
Hide Thou Me_Oak Ridge Boys_1999,87
High Horse_Daniel Johnston_2009,128
High On the Mountain_The Del McCoury Band_2009,73
High-Speed French Train_Alexandre Desplat_2009,1
Hillbillies From Outerspace_The Vaughan Brothers_1990,1
Hips Don't Lie (featuring Wyclef Jean)_Shakira Featuring Wyclef Jean_2006,513
Hiroshima_Utopia_1977,204
HISTORY_Michael Jackson_1995,300
Hit my heart_JK_2002,194
Hit The Lights_Metallica_1982,132
Ho Shit (Chopped&Screwed)_5th Ward Boyz_1993,607
Hold On (LP Version)_Michelle Tumes_1999,84
Hold On Baby_Janet Jackson_1993,7
Hold On I'm A Comin' (Album Version)_Bill Cosby_1968,486
Hold On_22-20s_2004,152
Hold On_Hot Chip_2008,188
Hold On_White Heart_1982,110
Hold Up My Heart_Brooke White_2009,148
Hole In My Head_Dixie Chicks_1999,223
Hole In The Pumpkin_Ini Kamoze_1988,185
Hollow Eyes (Beat The System Album Version)_Petra_1986,167
Honey_Mariah Carey Featuring Da Brat and JD_1997,352
Honey_Mariah Carey_1997,476
Honey_R Kelly and Jay Z_2002,345
Honor The Lord (He Holds The Keys Album Version)_Steve Green_1985,91
Hoochie Coochie Man_The Jeff Healey Band_1989,167
Hope  (Edited Album Version)_Twista Featuring Cee-Lo_2004,704
Hopelessly_Epitaph_1998,74
Hopelessly_Rick Astley_1993,137
Horrible_Jack Off Jill_1995,85
Horse Doctor_ Come Quick_Corb Lund_2009,292
Hot Girls_Kiprich_2003,314
Hot Rod Lincoln_Asleep At The Wheel_1988,359
Hot Tamale Baby_Buckwheat Zydeco_1987,67
Hotel_Cassidy featuring R Kelly_2003,450
Hotta_TOK_2006,345
Hourglass_Borialis_2004,478
House Full Of Bullets_Joe Satriani_1998,1
House of Love_Steel Pulse_1997,165
House Of Pain_Van Halen_1983,73
House Of Wolves (Album Version)_My Chemical Romance_2006,270
How Bad Do You Want It_Mark Wills_2003,213
How Beautiful (Cry For The Desert Album Version)_Twila Paris_1990,172
How Can I_Jah Cure_2003,193
How Can You Call That Beautiful (Stewkey Vocal)_Nazz_1984,190
How Can You Resist It_Teena Marie_1990,258
How Does It Feel_Avril Lavigne_2004,184
How Great Thou Art_Ronnie Milsap_2008,146
How Long Will It Take_Warner mack_0,154
How Many More Years (LP Version)_John Hammond_2002,84
How Old Are You_Loudon Wainwright III_1994,310
How We Get Down_Bad Azz_2002,447
How Ya Like Me Now_Kool Moe Dee_1987,561
Hoy Es Hoy_Memphis La Blusera_1998,133
Hoy_Emilio_2003,86
Human Being (1972 demo)_New York Dolls_1994,396
Human Being_The New York Dolls_1974,396
Human Cannonball_Loudon Wainwright III_1995,94
Human Guinea Pig_Suicidal Tendencies_1987,114
Humanity_The Berzerker_2000,361
Hummingbird_Jimmy Page_1988,203
Hummingbird_Leon Russell_1970,169
Hunger Strike_Temple Of The Dog_1991,162
Hunter And The Hunted (Live)_Simple Minds_1983,189
Hunting_Deep Forest_1992,136
Hurry Up And Come_Cocoa Tea_2008,432
Husbands And Wives_Roger Miller_1992,63
Hypergasm_Chaotica_1999,7
I Am Fred Astaire (Album Version)_Taking Back Sunday_2004,233
I Am Going (Album Version)_Randy Travis_2000,65
I Am The Club (Explicit Album Version)_Plies_2007,359
I Believe In You (More Than A Story Album Version)_Go Fish_1980,168
I Can't Be Satisfied_John Hammond_2002,131
I Can't Be Your Man_Porter Wagoner_1993,178
I Can't Feel You Anymore_Loretta Lynn_1994,116
I Can't Rest_Fontella Bass_2006,139
I Can't Stop Loving You_Martina McBride_2005,56
I Can't Wait Until Tomorrow (Live)_Gary Moore_1985,197
I Can't_Foxy Brown  Total_1999,459
I Cannot Believe It's True_Phil Collins_1982,236
I Changed My Mind (DJ Spinna Remix)_Lyrics Born_2005,434
I Constantly Thank God For Esteban (Album Version)_Panic! At The Disco_2005,297
I Could Be Dreaming_Belle and Sebastian_1996,323
I Could Use Another You (Digital Re-Recording)_Eddy Raven_1984,107
I Cried All The Way To The Altar_Patsy Cline_1995,126
I denna ljuva sommartid_Sofia Karlsson_2002,58
I Did it for You_David Cook_2008,193
I Didn't Know_Benny Spellman_0,104
I Didn't Mean To_Casual_1994,321
I Don't Know_Teenage Fanclub_1991,112
I Don't Love You Anymore_George Jones_1966,149
I Don't Wanna be A Star_Corona_1995,169
I Don't Want To Hear Any More_Eagles_2007,147
I Don't Want To Let You Go_Weezer_2009,165
I Don't Want To Talk About It_G-Unit_1997,625
I Don't Want Your Love_Dealership_2004,78
I Dunno (LP Version)_Georgia Satellites_1989,189
I Feel So Good_JB Lenoir_1995,83
I Found You_The Impressions_1963,164
I Get My Paper_Cassidy featuring Swizz Beatz_2007,424
I Give Up (Album Version)_Stellar Kart_2008,67
I Go To Work_Kool Moe Dee_1989,500
I Got A Seecret_Redman_1998,331
I got A Woman_Eddie Boyd_1957,138
I Got Over It (Album Version)_Robben Ford_1988,139
I Got Stripes (Live)_Johnny Cash_2006,71
I Gotta Keep Dancing_Corona_1995,105
I Guess I'm Crazy_Jim Reeves_1990,72
I Heard Her Call My Name_The Velvet Underground_1968,236
I hit You Wit The Pepper_Messy Marv_2006,338
I Just Knew_Kellie Coffey_2002,107
I Know A Place_Joe Bonamassa_2010,98
I Know I Can_Dave Hollister_2008,259
I Know Somethin (Bout You)_Alice In Chains_1990,188
I Like The Way_Tommy James And The Shondells_1967,124
I Love No One But You_Don Gibson_1991,52
I Love This Town_Bon Jovi_2007,154
I Love U_Chris Brown_2010,300
I Love You (LP Version)_Cindy Morgan_2011,105
I Love You And You Love Me_Andy Russell_2009,120
I Love You More Than You'll Ever Know (LP Version)_Donny Hathaway_1990,176
I Love You_ You Imbecile_Pelle Carlberg_2007,135
I Need Love_Usher_1999,35
I Need You Now_Agnes_2009,241
I Never Came_Queens Of The Stone Age_2005,130
I Only Have Eyes For You (Album Version)_John Stevens_2005,87
I Put A Spell On You_Maysa_2010,69
I Put a Spell on You_Screamin' Jay Hawkins_1956,102
I Saw Three Ships_Kevin Max_2005,100
I See God_Johnny Nash_1959,132
I See You_Grayson Capps_2005,175
I Stayed Long Enough_Tammy Wynette_1968,72
I Surrender All_Clay Crosse_1998,181
I Swear the Visine is for my Allergies_Salt The Wound_2008,193
I Wanna Be Where You Are_Michael Jackson_1972,139
I Wanna Sing (Autobiography Album Version)_Scott Krippayne_1999,114
I Want It_Zombie Girl_2006,197
I Want Love (Tween You & Me) (Album Version)_Tony Joe White_1973,131
I Want More - Part 1_Faithless_2004,203
I Want To Know You More_Scott Krippayne_0,109
I Want You (Album Version)_Faith Hill_2005,146
I Want You Back_The Plimsouls_1981,143
I Want Your Soul For Christmas_Schoolyard Heroes_2008,164
I Want You_Sophie B Hawkins_1992,213
I Was a Human Bomb for the FBI_Zombina and The Skeletones_2006,121
I Will Be Free (LP Version)_Cindy Morgan_1993,174
I Will Hear (Psalm 85)_John Michael Talbot_2000,100
I Will Shelter You_Bob Carlisle_1998,124
I Will Turn Your Money Green (Take 1)_Furry Lewis_1929,164
I Will Turn Your Money Green (Tk 1)_Furry Lewis_1929,164
I Wish I Had A Girl_Henry Lee Summer_1988,261
I Wish I Was A Punk Rocker (With Flowers In My Hair)_Sandi Thom_2006,173
I Won't Spend Another Night Alone_The Ataris_1999,151
I'd Like To Be_Jim Reeves_1994,130
I'd Rather Have Jesus_Loretta Lynn_1965,79
I'll Be Your Light (Ian Nieman Remix)_Kristine W_2005,231
I'll Be Yours_Faron Young_1994,154
I'll Come Running_Connie Smith_2001,99
I'll Never Find Another You_Sonny James_1967,129
I'll Show You Love_Usher_1994,328
I'll Sweat You (LP Version)_Mista_1996,97
I'm A Chicken Head (Skit)_Cam'Ron_2004,150
I'm A Lazy Sod (Live)_Sex Pistols_1998,69
I'm Alive (BT & Sasha Mix)_Seal_2001,144
I'm All Yours (LP Version)_Rachael Lampa_2002,202
I'm Amazing_Keb' Mo'_2004,122
I'm Back_Eminem_2000,0
I'm callin_Mr Sancho_2013,435
I'm Chillin_Kurtis Blow_1990,304
I'm Down_Goldfinger_2001,181
I'm Free_Jah Cure_0,371
I'm Glad_Jennifer Lopez_2002,301
I'm Going All The Way (Album)_Ann Nesby_1994,183
I'm Gone This Time_Glen Campbell_1991,128
I'm Happy She Said_M83_2001,1
I'm Hot_Erick Sermon_2001,403
I'm Just A Girl_Kofi_2011,742
I'm Mad_EPMD_1990,464
I'm Not A Loser_Descendents_1982,141
I'm Not Done_Fever Ray_2009,96
I'm Not Moving_Phil Collins_1981,140
I'm Not Worth the Tears_Dolly Parton_1967,126
I'm On To You_Hurricane_1988,162
I'm On Your Tail_Paul Carrack_1989,270
I'm Only Out For One Thang (Explicit) (Feat Flavor Flav)_Ice Cube Featuring Flavor Flav_1990,347
I'm Over You (Album Version)_Rebecca Lynn Howard_2008,205
I'm Real_Jennifer Lopez featuring Ja Rule_2001,341
I'm Running Out Of Love_Dolly Parton_2008,162
I'm So Bored With The USA_The Clash_1977,83
I'm Still In Love With You_T-Bone Walker_1967,156
I'm The Man (Explicit) (Feat Jeru The Damaja And Lil Dap)_Gang Starr Featuring Jeru The Damaja And Lil Dap_1992,670
I'm Thinking Tonight Of My Blue Eyes_Dolly Parton_1994,95
I'm Walking_Donnie McClurkin_1990,154
I'm Wanderin'_Jackie Wilson_1958,107
I'm Wrong_Dave Hollister_2006,291
I'm Your Money (12'' Extended Version) (2006 Digital Remaster)_Heaven 17_1981,117
I'ma Bang_DMX_2001,458
I'mma Break It Down_Eazy-E_1988,437
I've Been Lonely (For So Long)_Frederick Knight_2000,132
I've Been Loving You Too Long (LP Version)_Dionne Warwick_2013,144
I've Been Missin' You_Kenny G_1983,1
I've Been Thinking featuring Cat Power (Album Version)_Handsome Boy Modeling School_2004,278
I've Been Working on the Railroad_Laurie Berkner_2001,122
I've Got A Thing About You Baby (Album Version)_Tony Joe White_2013,124
I've Got You Under My Skin_Louis Prima And Keely Smith_1960,194
IAI_Royal S_2018,1
IBS (Amended Album Version)_Cam'Ron_2006,350
Ice Cream Cakes_Jeff Beck Group_1972,114
Ich bin jung und brauche das Geld_Eko Fresh feat G-Style_2003,415
Ich bleib so wie ich bin_Eko Fresh feat Ado_2007,505
ICU_Saigon Kick_2004,89
Idnnitkhtr_TAKARU_2004,1
If Ever_Foo Fighters_2007,61
If I Ain't Got You_Alicia Keys_2003,214
If I Can't Have You_Jackie Wilson_1958,175
If I Couldn't Hold Back The Dawn_Carl Smith_1957,100
If I Ever Saw A Good Thing (Album Version)_Tony Joe White_1972,110
If I Had Known_Tampa Red_1993,205
If I Had My Way I'd Tear This Building Down_Blind Willie Johnson_1996,308
If I Know You_The Presets_2008,272
If I Miss You Again Tonight_Tommy Overstreet_1975,167
If I Run_Semisonic_1993,171
If I Talk To Him_Connie Smith_2001,117
If I Was Your Woman_Alicia Keys_2005,180
If I'M Dreaming just Let Me Dream_Brenda Lee_1987,110
If I_Foxy Brown_1996,413
If My Baby (LP Version)_Mista_1996,233
If They Want It_DJ Clue  Fabolous Sport_1998,409
If This Is The End_Jeff Scott Soto_2004,135
If Today Was Your Last Day (Album Version)_Nickelback_2008,342
If We Loved_Chuck Wicks_2008,149
If You Love Me_Becky Baeling_2003,234
If Your Na Na Get Wet_Baby Bash_2001,254
Ihmisen Lento_Indica_2004,117
Iki Tas Corba_Mustafa Sandal_1996,62
Il rosso_Word_2014,179
Il Y A Des Anges_Line Renaud_1994,97
Il Y A Une Question (Live)_Cali_2006,175
Illuminate_Orbital_2001,137
Immigrant Song (Album Version)_Led Zeppelin_1970,0
Imparable_Tommy Torres_2008,85
In A Dead World (Album Version)_Killswitch Engage_2009,118
In A Letter To You (Digitally Remastered 98)_Eddy Raven_2002,185
In Di Car Back (Album Version)_Mavado_2008,383
In Fate's Hands (Album Version)_The Red Jumpsuit Apparatus_2006,234
In Hell (Album Version)_A Perfect Murder_2007,48
In His Name_White Heart_1987,190
In His Presence (LP Version)_Marvin Sapp_1980,160
In My Arms (Live Auditorio Nacional 08)_Aleks Syntek_2009,259
In My Arms_Snow Patrol_2006,248
In My Bed_Amy Winehouse_2003,213
In My Dreams_Lionel Richie_2004,155
In My Hood (Explicit Album Version)_Fabolous_2004,615
In My Life_Boyz II Men_2009,126
In The Midnight Hour_Cross Country_2009,136
In The Midst_Byron Cage featuring Tye Tribbett_2009,385
In The Name Of God (Gentle Revolution Album Version)_Scott Krippayne_2005,116
In the Underworld_Skyforger_2010,172
In the Wordless Chamber_Emperor_2001,73
In This Legacy_Monty Are I_2006,135
In This Skin_Jessica Simpson_2003,199
Ina Your Rights_Aswad_1981,169
Inaudible Melodies_Jack Johnson_2000,133
Incide_Dark Fortress_2006,39
Independent Girl (feat Malki Singh)_Apache Indian_1998,554
Indian Love Call_Slim Whitman_1990,63
Indian Queen_Electric Light Orchestra_2000,190
Indianola_Steve Azar_2007,154
Inertiatic Esp_The Mars Volta_2003,194
Infected_Bad Religion_1994,227
informa_Elephant Man_0,477
Ingenting_Kent_2007,160
Inherent Scars_Symphony in Peril_2005,69
Innocence_Avril Lavigne_2007,229
Inoculated City_The Clash_1982,217
Insatiable (Instrumental Version)_Clp_2008,643
Inside Job_Pearl Jam_2006,112
Intensity In Ten Cities_Embrace the End_2008,160
Interlude,0
Interlude (Album Version)_My Chemical Romance_2004,12
Interplanetary Party_Santana_2007,219
Into A Swan_Siouxsie_2007,156
Into Battle_Ensiferum_2004,217
Into Hiding_Amorphis_1994,68
Into My Eyes_Cherrelle_1999,218
Into The Groove_Madonna_1985,345
Intro  Time For Some Action_NERD_2008,344
Intro 2 Kick Out The Jams (LP Version)_MC5_1969,224
IntroChamber The Cartridge_Rise Against_2006,239
Introduction (Album Version)_Fort Minor_2005,42
Intro_40 Grit_2003,143
Intro_Bizzy Bone Presents_2004,625
Intro_Diamond D_1997,66
Intro_DJ Clue  P Diddy_1998,553
Intro_Erick Sermon_1993,347
Intro_Lou Reed_1974,191
Intro_Papoose_2006,516
Intro_Styles P_2002,207
Intro_The Chi-Lites_1984,278
Io non ti invidio_Fabri Fibra_2004,472
IRM_Charlotte Gainsbourg_2009,57
Iron Man_The Cardigans_1996,159
Irreplaceable_Toby Love_2008,276
Irresistible_Jessica Simpson featuring Lil Bow Wow_2001,234
Is It A Myth_K'Naan_2007,332
Is It A Sin_Deepest Blue_2004,191
Is It Clean (Ethereal - Progressive)_The Gone Jackals_1990,83
Is It Love_3 of Hearts_2001,115
Is It Love_Gang Of Four_1983,120
Is It The Skin I'm In_Lyrics Born_2008,582
Is It Wrong_Warner mack_1957,92
Is It You_Lee Ritenour_1979,128
Isabel_Juana Molina_2004,75
Isku PitkÃ¤stÃ¤ Ilosta_Korpiklaani_2009,119
Isn't That Just Like God (Low Key Performance Track Without Background Vocals)_Babbie Mason_2010,232
Isn't That Just Like God (Medium Key Performance Track Without Background Vocals)_Babbie Mason_2010,232
It Ain't The Meat It's The Motion (LP Version)_Maria Muldaur_1974,206
It Ain't The Meat It's The Motion_Maria Muldaur_1974,206
It Could All Get Blown Away_The Jeff Healey Band_1992,217
It Doesn't Matter Where_ Just Drive_Snow Patrol_2006,120
It Feels Like Rain_Maria Muldaur_1999,138
It Feels So Good (Album Version)_Twista_1997,742
It Hurts Me To My Heart_Bobby Marchan_1998,31
It Is No Secret (What God Can Do)_Tammy Wynette_1976,68
It Is Us_Mudhoney_2006,140
It Is What It Is (feat Anton X)_Omni_1998,438
It Makes No Difference Now_Billie Jo Spears_1992,125
It Makes No Difference_Jimmie Davis_1941,126
It Must Be Everywhere (Complete Version)_Nazz_1997,73
It Must Be Love (Live Acoustic Version)_Rickie Lee Jones_1991,213
It Only Takes Two To Tango_The Stranglers_1981,105
It'll All Come Around (Album Version)_Back Door Slam_2007,148
It's A Long Way Around_Burning Spear_1977,49
It's All In My Mind_Teenage Fanclub_2005,131
It's All Understood_Jack Johnson_2000,312
It's All Wrong_ But It's All Right_Dolly Parton_1995,198
It's Alright_Graham Central Station_1975,123
It's Bad For Me (Album Version)_The Roches_1980,145
It's Four In The Morning_Faron Young_1986,187
It's Going Down_Suicidal Tendencies_1992,243
It's Good To Know Jesus_Mississippi Mass Choir_2003,123
It's My Party_Lesley Gore_1963,156
It's Not Me_3 Doors Down_2003,184
It's Not Unusual_Willie Bobo_2008,107
It's Not What You Say_Louie Ramirez_1968,188
It's So Fine_Jackie Wilson_1958,164
It's Too Late_Small Faces_1966,172
It's You_Toots and The Maytals_1996,107
Itchycoo Park_Small Faces_1967,197
Ithaki_Peggy Zina_0,0
IV_From Autumn To Ashes_2002,1
IYA_Chris Brown_2009,149
J'veux Du Cuir (Live)_Alain Souchon_1990,96
Ja (Hanno's Poppersmonstermix)_2raumwohnung_2007,41
Ja Nun Hons Pris_Bryan Ferry_2002,19
Jah Jah Children_Sugar Minott_1977,196
Jam 4 U_Redman_1992,389
Jambalaya (On The Bayou)_Leon Russell_1973,147
Jamboree_Naughty By Nature;Naughty By Nature featuring Zhane_0,442
James (Hold The Ladder Steady)_SUE THOMPSON_1985,200
Jane 5_EPMD_1997,301
Janice's Party_Fountains Of Wayne_2005,82
Janie's Got A Gun_Aerosmith_1989,317
Janus (Riff Monster - topical)_The Gone Jackals_1990,182
Je Marche Seul (Version Longue)_Jean-Jacques Goldman_1985,186
Je N'ai Plus Rien A Te Donner_Marc Lavoine_1989,149
Je Suis Une Cigarette_M_1998,142
Jealous Again_Black Flag_1980,117
